(730, 1400)
(730, 1399)
(730, 1398)
(729, 1397)
(729, 1396)
(729, 1395)
(729, 1394)
(729, 1393)
(729, 1392)
(728, 1391)
(728, 1390)
(728, 1389)
(728, 1388)
(728, 1387)
(728, 1386)
(727, 1385)
(727, 1384)
(727, 1383)
(727, 1382)
(727, 1381)
(727, 1380)
(727, 1379)
(727, 1378)
(727, 1377)
(727, 1376)
(727, 1375)
(727, 1374)
(727, 1373)
(727, 1372)
(727, 1371)
(727, 1370)
(727, 1369)
(728, 1368)
(728, 1367)
(728, 1366)
(728, 1365)
(729, 1364)
(729, 1363)
(729, 1362)
(729, 1361)
(730, 1360)
(730, 1359)
(730, 1358)
(731, 1357)
(731, 1356)
(731, 1355)
(731, 1354)
(732, 1353)
(732, 1352)
(733, 1351)
(733, 1350)
(733, 1349)
(734, 1348)
(734, 1347)
(735, 1346)
(735, 1345)
(735, 1344)
(736, 1343)
(736, 1342)
(737, 1341)
(738, 1340)
(738, 1339)
(739, 1338)
(739, 1337)
(740, 1336)
(741, 1335)
(741, 1334)
(742, 1333)
(743, 1332)
(744, 1331)
(745, 1330)
(746, 1329)
(747, 1328)
(748, 1327)
(748, 1326)
(749, 1325)
(750, 1324)
(751, 1323)
(752, 1322)
(753, 1321)
(754, 1320)
(755, 1319)
(756, 1318)
(756, 1317)
(757, 1316)
(758, 1315)
(759, 1314)
(759, 1313)
(760, 1312)
(761, 1311)
(761, 1310)
(762, 1309)
(763, 1308)
(763, 1307)
(764, 1306)
(764, 1305)
(765, 1304)
(765, 1303)
(766, 1302)
(766, 1301)
(766, 1300)
(767, 1299)
(767, 1298)
(767, 1297)
(767, 1296)
(768, 1295)
(768, 1294)
(768, 1293)
(768, 1292)
(768, 1291)
(768, 1290)
(768, 1289)
(768, 1288)
(768, 1287)
(768, 1286)
(768, 1285)
(767, 1284)
(767, 1283)
(767, 1282)
(767, 1281)
(767, 1280)
(766, 1279)
(766, 1278)
(766, 1277)
(766, 1276)
(765, 1275)
(765, 1274)
(765, 1273)
(764, 1272)
(764, 1271)
(764, 1270)
(763, 1269)
(763, 1268)
(763, 1267)
(762, 1266)
(762, 1265)
(762, 1264)
(762, 1263)
(761, 1262)
(761, 1261)
(761, 1260)
(761, 1259)
(761, 1258)
(761, 1257)
(760, 1256)
(760, 1255)
(760, 1254)
(760, 1253)
(760, 1252)
(761, 1251)
(761, 1250)
(761, 1249)
(761, 1248)
